mol,sigma-p,sigma-m,p-Mulliken,m-Mulliken,p-xTB-Mulliken,m-xTB-Mulliken,p-NPA,m-NPA,p-MBS-Mulliken,m-MBS-Mulliken,p-Hirshfeld,m-Hirshfeld,p-Iterative Hirshfeld,m-Iterative Hirshfeld,p-ML-QMDESC Hirshfeld,m-ML-QMDESC Hirshfeld,p-CHELPG,m-CHELPG,p-MKUFF,m-MKUFF,p-HLYGAt,m-HLYGAt,p-APT,m-APT,p-CM5,m-CM5,p-xTB-CM5,m-xTB-CM5,p-Iterative CM5,m-Iterative CM5,p-NMR (GIAO),m-NMR (GIAO),p-NMR (CSGT),m-NMR (CSGT),p-NMR (IGAIM),m-NMR (IGAIM),p-NMR (ML-CASCADE),m-NMR (ML-CASCADE),p-NMR (ML-QMDESC),m-NMR (ML-QMDESC)
15,-0.83,-0.16,0.098596,0.10036600000000001,0.02379,0.022435,0.20671,0.20440999999999998,0.098573,0.099897,0.033838,0.0370595,0.090154,0.08945600000000001,0.033760943,0.032343982,0.07965,0.074449,0.13196,0.10794100000000001,0.134917,0.12139849999999999,0.044226,0.037012500000000004,0.089775,0.0931285,0.07973,0.07849500000000001,0.146092,0.14552500000000002,24.9787,24.432250000000003,60.8303,46.606700000000004,25.0039,24.3857,116.88,129.72,24.60405922,24.89842129
16,0.0,0.0,0.1089244558821166,0.1082906879982934,0.0295965415108507,0.02969197400844295,0.2083262310255683,0.2080587035620829,0.1043220766281236,0.10458244765866359,0.0401059657449103,0.04028150857275335,0.0929738320606075,0.0934242171424399,0.038226999,0.038365271,0.0863032033517334,0.0760692865097149,0.1250942005741732,0.1181618985245359,0.1306239513300185,0.12086577284413315,0.0472856685397037,0.042935783574077346,0.0960626774964907,0.0962755440459365,0.0855562089123867,0.08569125341426309,0.1489313664335054,0.1494182692455463,24.38073449231382,24.304601690600826,48.57935265921746,47.843869647342785,24.37169323126796,24.284929728581435,127.76,128.4,24.66775703,24.736042025
17,-0.07,0.08,0.108915340325459,0.10822200595229335,0.0300027763074649,0.029904715621832348,0.2086512824884719,0.2081209268070245,0.1044717561793897,0.10459211923671849,0.0401331903284798,0.0402703819963416,0.0932818803585745,0.09313157941622954,0.037950173,0.037777189,0.0830519720271928,0.08140733416881275,0.1257850629320719,0.12044752148701865,0.1262297371763178,0.12717839521857777,0.0465086587183904,0.041824261949859304,0.0960919427443871,0.09626152196670004,0.0859556823257385,0.08589932045615109,0.1492407597691069,0.14912269530776665,24.406678695604,24.320357934967802,48.72597884087182,47.59058711736872,24.37722672062759,24.28759477434425,127.68,128.695,24.68381691,24.76487446
18,0.42,0.35,0.120179,0.118955,0.03781,0.03859,0.2121,0.213675,0.112568,0.1122645,0.046808,0.0459475,0.097993,0.100678,0.043193728,0.043517481499999996,0.081533,0.0877115,0.127062,0.1196985,0.132272,0.127648,0.055929,0.0544775,0.102803,0.101998,0.09381,0.09465000000000001,0.153987,0.1567285,24.0803,24.129150000000003,41.3737,47.452200000000005,24.0941,24.10855,135.17,128.76,24.51769257,24.289928435
19,0.5,0.38,0.116716,0.11522450000000001,0.03583,0.036315,0.21084,0.211785,0.110177,0.1095345,0.045114,0.043944,0.096528,0.097927,0.041726716,0.0425959935,0.086785,0.0850765,0.116332,0.1230415,0.124501,0.130394,0.053103,0.0488435,0.101104,0.10001399999999999,0.09182,0.09239,0.152518,0.15399649999999998,24.164,24.2166,42.818,48.0153,24.1656,24.18045,133.02,128.405,24.53508759,24.396444324999997
20,-0.27,0.12,0.104745,0.10778199999999999,0.02915,0.02871,0.20875,0.207555,0.102341,0.104625,0.037197,0.0403135,0.092746,0.0943135,0.038714133,0.037205534,0.09221,0.0803345,0.14073,0.1166665,0.148805,0.125591,0.048968,0.0458605,0.093207,0.0963875,0.08516,0.084785,0.148756,0.150388,24.7799,24.379199999999997,56.7767,46.4409,24.8045,24.352899999999998,120.97,129.765,24.65228081,24.881698605
21,0.0,0.15,0.10777,0.1086695,0.02843,0.028155,0.20953,0.208915,0.104474,0.10562099999999999,0.039281,0.041303,0.094139,0.094393,0.039187409,0.038482076000000004,0.073912,0.08647750000000001,0.103653,0.13444899999999999,0.111503,0.1473905,0.049088,0.0411385,0.095276,0.097357,0.08442,0.084215,0.150135,0.150447,24.684,24.4118,53.8881,47.4299,24.7109,24.368949999999998,126.06,129.23000000000002,24.69611549,24.724812505000003
22,0.36,0.28,0.115078,0.113737,0.03379,0.034135,0.21078,0.211485,0.10918,0.1091125,0.044173,0.043653,0.096394,0.0973765,0.041133866,0.041580610000000004,0.088243,0.0762895,0.128372,0.1204595,0.13013,0.1251765,0.054172,0.049326499999999995,0.100165,0.0997265,0.08979,0.090215,0.152386,0.15345,24.2094,24.259900000000002,44.6086,48.003299999999996,24.2112,24.2334,131.77,128.21,24.57983208,24.594946864999997
23,-0.34,-0.04,0.1046262633401746,0.10674740541101345,0.0286243907987382,0.0281633758439131,0.20856657025664,0.2075707048500663,0.1023162667568347,0.10446630304307195,0.0371193907987382,0.040297412130150354,0.0927572336588909,0.0936961000521069,0.039364859,0.0367465575,0.0954753995321673,0.08398771585832225,0.1552553420785481,0.1167790937076882,0.1524408623823104,0.12837708148884294,0.0486472880882468,0.04535076307522005,0.0931106087445284,0.09637807932819925,0.0846064207083885,0.08424837584391309,0.1487484516046811,0.1497772165024146,24.828291884928735,24.4278305093952,56.22643348528311,46.89385418313728,24.843389212793053,24.424506949836438,121.39,129.245,25.04503059,25.19485855
24,0.45,0.37,0.117977,0.116372,0.03619,0.03708,0.21114,0.212925,0.110892,0.1109825,0.045693,0.0449765,0.096845,0.099152,0.042268015,0.042481991999999996,0.085796,0.0886305,0.126438,0.11957799999999999,0.132798,0.1267725,0.057478,0.053573499999999996,0.101699,0.10108400000000001,0.0922,0.09318,0.152851,0.15526,24.1204,24.21965,42.3135,48.0862,24.127,24.197499999999998,133.5,128.91,24.55537605,24.48276138
