mol,sigma-p,sigma-m,p-Mulliken,m-Mulliken,p-xTB-Mulliken,m-xTB-Mulliken,p-NPA,m-NPA,p-MBS-Mulliken,m-MBS-Mulliken,p-Hirshfeld,m-Hirshfeld,p-Iterative Hirshfeld,m-Iterative Hirshfeld,p-ML-QMDESC Hirshfeld,m-ML-QMDESC Hirshfeld,p-CHELPG,m-CHELPG,p-MKUFF,m-MKUFF,p-HLYGAt,m-HLYGAt,p-APT,m-APT,p-CM5,m-CM5,p-xTB-CM5,m-xTB-CM5,p-Iterative CM5,m-Iterative CM5,p-NMR (GIAO),m-NMR (GIAO),p-NMR (CSGT),m-NMR (CSGT),p-NMR (IGAIM),m-NMR (IGAIM),p-NMR (ML-CASCADE),m-NMR (ML-CASCADE),p-NMR (ML-QMDESC),m-NMR (ML-QMDESC)
55,-0.07,-0.03,0.1087399699722955,0.1078473128241984,-0.0312767660389496,-0.02531369085793985,-0.2136320432996552,-0.1991682956812536,-0.1068322306063779,-0.10250702727990504,-0.0431044864404537,-0.039818298448654504,-0.1021666547435544,-0.0818226747501816,-0.039915808,-0.036439113,-0.1135297435010232,-0.0529183499206787,-0.1077737052778164,-0.13583544550532983,-0.1213678684126548,-0.133361916754779,-0.0831000492207317,-0.02174466780569135,-0.0990559740390197,-0.09568041049404274,-0.0872299518846107,-0.0811767552885302,-0.1581184256032228,-0.1376843604283151,52.126261225517936,49.653917837643235,49.71754456329363,47.367592995838734,49.732532852836314,47.38239461445179,126.16,128.61,69.27970123,66.59941101
56,0.45,0.37,0.1153339785825504,0.11353141664557051,-0.0168406862993288,-0.02788999999999995,-0.1838227184255032,-0.21188597590536914,-0.0905854251655032,-0.1037479549763087,-0.028065224630067,-0.036580401070872445,-0.0663761934806709,-0.099799348865839,-0.025208678,-0.033445477,-0.058954837054907,-0.08873373219113985,-0.1178438466053734,-0.12054088591059385,-0.1338256703818849,-0.1022326966641597,0.0161927194022815,-0.10113280700771815,-0.0839896257009395,-0.09241943404724826,-0.0727606862993288,-0.08372866755906036,-0.1223005945515434,-0.15563838184221485,45.57310679063084,50.549930883469806,43.221294573275145,48.322292552731554,43.23639457327514,48.33734255273156,133.66,128.95999999999998,62.54684448,67.29264832
57,-0.14,-0.05,0.106102623104137,0.10486247731978425,-0.033791814276977,-0.0269066198651082,-0.217495097241004,-0.20024361228867044,-0.1096020270246385,-0.10360321976088135,-0.0462113747552142,-0.04193553024262555,-0.1064972559955,-0.08313266357095545,-0.04277185,-0.039070219,-0.1089935321307723,-0.06490224393927195,-0.1657714297864435,-0.0941177569557037,-0.1766588777445501,-0.0927605578325845,-0.1008579007445981,-0.0124957946814833,-0.1021582894420847,-0.0977920847779673,-0.089741814276977,-0.08276066414118735,-0.1624448089113274,-0.13898953722077564,53.053627340124734,50.35230993816528,50.636817511797474,47.99248056302149,50.65205368890179,48.0075667401258,126.7,128.02499999999998,69.62077332,66.90313721
58,-0.15,-0.08,0.106271133155721,0.1049336873287961,-0.0336895469346824,-0.02695743973949365,-0.2179357928426628,-0.20042921825533566,-0.1096053890055745,-0.1038576432298223,-0.0461538861926707,-0.04178490632646415,-0.1065197747151325,-0.08267376673368106,-0.043360427,-0.039048105,-0.1032199483144088,-0.06504714993844066,-0.1311666250396167,-0.12194352827580901,-0.141754971050481,-0.11854980695564915,-0.0977489147583572,-0.01427798437119555,-0.1021071229585715,-0.097650649524757,-0.089641358167037,-0.0828218918903597,-0.1624734544645868,-0.1385394812535694,52.99962515095028,50.014946910001,50.55425922386989,47.68493716601197,50.56952036379993,47.70006674012646,125.79,128.315,69.74157715,67.24829865
59,-0.14,-0.05,0.1058134779804464,0.10430096286053064,-0.0329850508143544,-0.0270901140213208,-0.2171889275392639,-0.20053019416640538,-0.1093221774770686,-0.10383823143026535,-0.0461642881107658,-0.042060379657982455,-0.106216228291423,-0.0836438558202264,-0.042604607,-0.038945191,-0.1258135503272864,-0.0420769401364413,-0.17181244899622,-0.0703806756611037,-0.1946584095700616,-0.048769379640434846,-0.1004649329078473,-0.0124881973482597,-0.1021115617619359,-0.09793789444773815,-0.0889450508143544,-0.08296614021320861,-0.1621635019425931,-0.1395213706099821,52.58790342110416,50.09870354886695,50.156824101884034,47.78363766435308,50.172024101884034,47.798737664353084,125.89,128.635,69.62077332,66.90313721
60,0.02,0.06,0.109314,0.108516,-0.03115,-0.026415,-0.21139,-0.20031500000000002,-0.106312,-0.1000815,-0.041869,-0.038733000000000004,-0.099922,-0.0866935,-0.036332641,-0.036746532,-0.12083,-0.059476,-0.194075,-0.078923,-0.184862,-0.0954615,-0.142823,0.004751,-0.097834,-0.09458849999999999,-0.08712,-0.08227000000000001,-0.155888,-0.14254850000000002,51.8705,49.747150000000005,49.5626,47.55435,49.5777,47.5694,127.81,128.91000000000003,67.0921936,66.93280029
61,-0.02,0.03,0.108857,0.1077935,-0.03297,-0.026825,-0.21176,-0.19952,-0.106107,-0.101464,-0.042248,-0.0393705,-0.100408,-0.08493500000000001,-0.039639674,-0.037746057,-0.116883,-0.0440015,-0.1522,-0.106884,-0.152945,-0.10606199999999999,-0.114611,-0.012888,-0.098209,-0.09525349999999999,-0.08892,-0.082695,-0.156369,-0.140818,51.7847,49.5043,49.4973,47.276650000000004,49.5124,47.2916,127.32,128.98,68.66268158,66.6791687
62,0.05,0.09,0.109941,0.109361,-0.0321,-0.025955,-0.21078,-0.19818999999999998,-0.10552,-0.099915,-0.041263,-0.038064,-0.099696,-0.08291499999999999,-0.038441017,-0.036209263,-0.100629,-0.06299099999999999,-0.156072,-0.11434,-0.149987,-0.127001,-0.124842,-0.0068295000000000005,-0.097234,-0.09395500000000001,-0.08806,-0.08184,-0.155667,-0.1388065,51.5586,49.43875,49.255,47.2399,49.2702,47.2549,127.46,129.0,68.13794708,66.61130524
63,-0.15,-0.05,0.1056710873343549,0.10406562555398086,-0.0329915037394804,-0.0272047841166092,-0.2174200744425485,-0.20015021588339071,-0.1094383245695116,-0.1039579600549499,-0.0462906178731528,-0.04208657320762365,-0.1065063131665561,-0.0834840868438556,-0.042879347,-0.039150573,-0.1136535834086077,-0.05660473371664895,-0.2162145566532281,-0.03651350986093465,-0.2246048906636979,-0.03612782549734045,-0.0988688500991983,-0.01231066451803225,-0.1022396476501722,-0.09796623102582655,-0.0889515335164998,-0.08309492555745145,-0.1624553444324265,-0.1393637446620585,52.62860691338208,49.98818444844854,50.17560438233543,47.67151462133802,50.190904531220525,47.686614621338016,125.91,128.31,69.62077332,66.90313721
64,-0.01,0.06,0.108903,0.107901,-0.03044,-0.02656,-0.20987,-0.20076,-0.105134,-0.102254,-0.041575,-0.039579,-0.098282,-0.085923,-0.038825389,-0.036812842,-0.069556,-0.088398,-0.135417,-0.1279765,-0.112316,-0.1488195,-0.104937,-0.0246615,-0.09753,-0.095473,-0.0864,-0.082455,-0.154238,-0.141817,51.5428,49.578500000000005,49.2457,47.327799999999996,49.2608,47.34285,127.51,128.78,68.39878082,66.4978714
